"Name of Satellite, Alternate Names",Country of Owner,Owner,Users,Purpose,Class of Orbit,Date of Launch,Launch Site,Coordinates,Launch Vehicle
AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,11-08-09,Baikonur Cosmodrome,45.8595;63.3134,Ariane
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,28-05-10,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,16-07-11,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,04-10-12,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,21-02-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,17-05-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Advanced Orion 4 (NRO L-26, USA 202)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,18-01-09,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Advanced Orion 5 (NRO L-32, USA 223)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,21-11-10,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Advanced Orion 6 (NRO L-15, USA 237)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,29-06-12,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Advanced Orion 7 (NRO L-37, USA 268)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,11-06-16,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"GSSAP 1 (Geosynchronous Space Situational Awareness Program, USA 253)",USA,Air Force Satellite Control Network,Military,Space Observation,GEO,28-07-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"GSSAP 2 (Geosynchronous Space Situational Awareness Program, USA 254)",USA,Air Force Satellite Control Network,Military,Space Observation,GEO,28-07-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA,DoD/US Air Force,Military/Commercial,Navigation,MEO,25-03-15,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Swift ,USA/United Kingdom/Italy,Goddard Space Flight Center/Penn State University,Government/Civil,Space Science,LEO,20-11-04,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M028 (Globalstar 26),USA,Globalstar,Commercial,Communications,LEO,25-07-99,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M004 (Globalstar 4),USA,Globalstar ,Commercial,Communications,LEO,14-02-98,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M006 (Globalstar 6),USA,Globalstar ,Commercial,Communications,LEO,24-04-98,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M026 (Globalstar 28),USA,Globalstar ,Commercial,Communications,LEO,25-07-99,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M027 (Globalstar 34),USA,Globalstar ,Commercial,Communications,LEO,17-08-99,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Globalstar M063 (Globalstar 49),USA,Globalstar  ,Commercial,Communications,LEO,08-02-00,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
ABS-3A ,Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,02-03-15,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
ABS-2A,Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,15-06-16,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,GEO,07-09-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd. ,Commercial,Communications,GEO,05-08-14,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Eutelsat 117 West B,USA,Eutelsat Americas,Commercial,Communications,GEO,15-06-16,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
Eutelsat 115 West-B,France,Eutelsat S.A.,Commercial,Communications,GEO,02-03-15,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
SES-8,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,03-12-13,Cape Canaveral,28.3922;-80.6077,Delta 2 7920
SES-9,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,GEO,04-03-16,Cape Canaveral,28.3922;-80.6077,Delta 2310
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,06-05-16,Cape Canaveral,28.3922;-80.6077,Delta 2914
Thaicom-6,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,06-01-14,Cape Canaveral,28.3922;-80.6077,Delta 4
Thaicom-8,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,27-05-16,Cape Canaveral,28.3922;-80.6077,Delta 4
Turkmen Alem 52E/MonacoSAT,Turkmenistan/Monaco,Turkmenistan Ministry of Communications/SSI-Monaco,Government/Commercial,Communications,GEO,27-04-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-103,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-104,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-106,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-107,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-109,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-111,USA,ORBCOMM Inc.,Commercial,Communications,LEO,14-07-14,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-105,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-108,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-110,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-112,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-113,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-114,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-115,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-116,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-117,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-118,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
ORBCOMM OG2 FM-119,USA,ORBCOMM Inc.,Commercial,Communications,LEO,22-12-15,Cape Canaveral,28.3922;-80.6077,Delta 4
SCD-1 (Satélite de Coleta de Dados),Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,LEO,09-02-93,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
SCD-2 (Satélite de Coleta de Dados),Brazil,Instituto Nacional de Pesquisas Espaciais (INPE),Government,Earth Observation,LEO,23-10-98,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
"HESSI (RHESSI, Reuven Ramaty High Energy Solar Spectroscopic Imager)",USA,"Space Sciences Laboratory, UC Berkeley/NASA",Government/Civil,Space Science,LEO,05-02-02,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
SORCE (SOlar Radiation and Climate Experiment),USA,"NASA Earth Science Office/Laboratory for Atmospheric and Space Physics, Univ. of Colorado",Government/Civil,Space Science,LEO,25-01-03,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
"TDRS-3 (Tracking and Data Relay Satellite, TDRS-C) ",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,29-09-88,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
"Hubble Space Telescope (HST, Space Telescope)",Austria/Belgium/Czech Republic/Denmark/Estonia/Finland/France/Germany/Greece/Hungary/Ireland/Italy/Luxembourg/Netherlands/Norway/Poland/Portugal/Romania/Spain/Sweden/Switzerland/United Kingdom/Canada/USA,European Space Agency/NASA,Government,Space Science,LEO,25-04-90,Cape Canaveral,28.3922;-80.6077,Delta 4 Heavy
"TDRS-5 (Tracking and Data Relay Satellite, TDRS-E)",USA,SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,GEO,02-08-91,Cape Canaveral,28.3922;-80.6077,Delta 4M
"TDRS-6 (Tracking and Data Relay Satellite, TDRS-F)",USA,NASA/SES Americom (SES [Société Européenne des Satellites (SES)]),Government/Commercial,Communications,GEO,13-01-93,Cape Canaveral,28.3922;-80.6077,Delta 4M
"TDRS-7 (Tracking and Data Relay Satellite, TDRS-G)",USA,National Aeronautics and Space Administration (NASA),Government,Communications,GEO,13-07-95,Cape Canaveral,28.3922;-80.6077,Delta 4M
Chandra X-Ray Observatory (CXO),USA,NASA Goddard Space Flight Center,Government,Space Science,Elliptical,23-07-99,Cape Canaveral,28.3922;-80.6077,Delta 7000
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,07-02-94,Cape Canaveral,28.3922;-80.6077,Delta 7320
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,06-11-95,Cape Canaveral,28.3922;-80.6077,Delta 7420
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,27-02-01,Cape Canaveral,28.3922;-80.6077,Delta 7420
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,GEO,16-01-02,Cape Canaveral,28.3922;-80.6077,Delta 7420
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,US Air Force,Military,Communications,GEO,08-04-03,Cape Canaveral,28.3922;-80.6077,Delta 7420
DSP 21 (USA 159) (Defense Support Program),USA,Air Force,Military,Earth Observation,GEO,06-08-01,Cape Canaveral,28.3922;-80.6077,Delta 7420
DSP 22 (USA 176) (Defense Support Program),USA,Air Force,Military,Earth Observation,GEO,14-02-04,Cape Canaveral,28.3922;-80.6077,Delta 7420
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,LEO,30-04-05,Cape Canaveral,28.3922;-80.6077,Delta 7420
"Advanced Orion 3 (NROL 19, USA 171)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,09-09-03,Cape Canaveral,28.3922;-80.6077,Delta 7920
"Trumpet 3 (NROL-4, National Reconnaissance Office Launch-4, USA 136)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,Elliptical,08-11-97,Cape Canaveral,28.3922;-80.6077,Dnepr
"Advanced Orion 2 (NROL 6, USA 139)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,GEO,09-05-98,Cape Canaveral,28.3922;-80.6077,Dnepr
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,GEO,27-08-94,Cape Canaveral,28.3922;-80.6077,Dnepr
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,GEO,24-04-96,Cape Canaveral,28.3922;-80.6077,Dnepr
DSP 18 (USA 130) (Defense Support Program),USA,Air Force,Military,Earth Observation,GEO,23-02-97,Cape Canaveral,28.3922;-80.6077,Dnepr
DSP 20 (USA 149) (Defense Support Program),USA,Air Force,Military,Earth Observation,GEO,18-05-00,Cape Canaveral,28.3922;-80.6077,Dnepr
FUNCube-1 (AO-73),Netherlands,AMSAT-UK,Civil,Communications,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Duchifat-1,Israel,Herzliya Science Centre (HSC),Civil,Communications,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
UWE-3 (University of Würzburg Experimental Satellite 3),Germany,University of Würzburg,Civil,Communications,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AprizeSat 7,Canada,AprizeSat,Commercial,Communications,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Perseus M1,Russia/USA,Dauria Aerospace,Commercial,Communications,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Perseus M2,Russia/USA,Dauria Aerospace,Commerical,Communications,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AprizeSat 8 (exactView-12),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AprizeSat 10 (exactView-13),USA/Argentina,Aprize Satellite,Commercial,Communications/Maritime Tracking,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AprizeSat 9 (exactView-11),Canada,exactEarth,Commercial,Communications/Maritime Tracking,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Qsat-EOS (KYUshu SATellite - Earth Observation System),Japan,Kyushu University,Civil,Earth Observation,LEO,06-11-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
TIGRISat,Iraq,La Sapienza University of Rome,Civil,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
TSUBAME,Japan,"Tokyo Institute of Technology, Tokyo University of Science and JAXA",Civil,Earth Observation,LEO,06-11-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-1  (0 Flock 1C-1 0903),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-10  (0 Flock 1C-10 090C),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-11 (0 Flock 1C-11 090D),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-2  (0 Flock 1C-2 0904),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-3  (0 Flock 1C-3 0905),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-4  (0 Flock 1C-4 0906),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-5  (0 Flock 1C-5 0907),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-6  (0 Flock 1C-6 0908),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-7  90 Flock 1C-7 0909),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-8  (0 Flock 1C-8 090A),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove 1c-9  (0 Flock 1C-9 090B),USA,"Planet Labs, Inc.",Commercial,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
SkySat-1,USA,Terra Bella,Commercial,Earth Observation,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
WNISat-1 Weather News Inc. Satellite 1),Japan,"Weathernews, Inc.",Commercial,Earth Observation,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Deimos 2 ,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
DubaiSat-2,United Arab Emirates,Emirates Institution for Advanced Science & Technology (EIAST),Government,Earth Observation,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
THEOS (Thailand Earth Observation System),Thailand,Geo-Informatics and Space Technology Development Agency (GISTDA),Government,Earth Observation,LEO,01-10-08,Dombarovsky Air Base,51.093889;59.842222,Dnepr
KazEOSat-2 (kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
ASNARO 1 (Advanced Satellite with New system Architecture for Observation),Japan,"Ministry of Economy, Trade and Industry",Government,Earth Observation,LEO,06-11-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Hodoyoshi-1 ,Japan,University of Tokyo and NESTRA,Government,Earth Observation,LEO,06-11-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,LEO,22-08-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,LEO,25-03-15,Dombarovsky Air Base,51.093889;59.842222,Dnepr
BRITE-CA-1 (BRITE Toronto),Canada,"University of Toronto, Institute for Aerospace Studies",Civil,Space Science,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
QB50P1 (EO 79),Belgium,von Karman Institute,Civil,Space Science,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
QB50P2 (EO 80),Belgium,von Karman Institute,Civil,Space Science,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
"BRITE-PL-1 (BRIght-star Target Explorer - Poland, Lem)",Poland,BRITE Consortium,Government,Space Science,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Saudisat-4,Saudi Arabia,"Space Research Institute, King Abdulaziz City for Science and Technology",Government,Space Science,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
"Cubebug 2 (Manolito, LO-74)",Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
ZACube-1 (TshepisoSat),South Africa,Cape Peninsula University of Technology,Civil,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AntelSat,Uruguay,"Facultad de Ingeniería de la Universidad de la República (FING), ANTEL",Civil,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
PUCPSat-1,Peru,Institute for Radio Astronomy at Pontificia Universidad Católica del Perú (PUCP),Civil,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
ChubuSat 1 (Kinshachi-1),Japan,Nagoya University and Daido University,Civil,Technology Development,LEO,06-11-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
PolyITAN-1,Ukraine,National Technical University,Civil,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
HumSat-D,Spain,University of Vigo,Civil,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Aerocube 6A,USA,Aerospace Corporation,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Aerocube 6B,USA,Aerospace Corporation,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Genesis-1,USA,Bigelow Aerospace,Commercial,Technology Development,LEO,12-07-06,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Genesis-2,USA,Bigelow Aerospace,Commercial,Technology Development,LEO,28-06-07,Dombarovsky Air Base,51.093889;59.842222,Dnepr
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),Denmark,GomSpace ApS,Commercial,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Popsat-HIP,Singapore,Microspace Rapid Pte Ltd.,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Dove-3,USA,"Planet Labs, Inc.",Commercial,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Bugsat-1 (Tita),Argentina,Satellogic S.A.,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Lemur-1,USA,Spire Global Inc.,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Aurora  (Tabletsat-2U-EO),Russia,Sputnix Ltd.,Commercial,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Wren,Germany,StaKoDo UG,Commercial,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
STSat-3,South Korea,Korea Aerospace Research Institute (KARI),Government,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
OPTOS,Spain,Spanish Space Agency,Government,Technology Development,LEO,21-11-13,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Hodoyoshi-3,Japan,University of Tokyo and NESTRA,Government,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Hodoyoshi-4,Japan,University of Tokyo and NESTRA,Government,Technology Development,LEO,19-06-14,Dombarovsky Air Base,51.093889;59.842222,Dnepr
AprizeSat 5,Canada,AprizeSat,Commercial,Communications,LEO,17-08-11,Dombarovsky Air Base,51.093889;59.842222,Dnepr
exactView 6 (AprizeSat 6),Canada,exactEarth,Commercial,Communications,LEO,17-08-11,Dombarovsky Air Base,51.093889;59.842222,Dnepr
NigeriaSat-2,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation,LEO,17-08-11,Dombarovsky Air Base,51.093889;59.842222,Dnepr
Nigeriasat-X,Nigeria,National Space Research and Development Agency (NASRDA),Government,Earth Observation/Technology Development,LEO,17-08-11,Dombarovsky Air Base,51.093889;59.842222,Dnepr
RASAT,Turkey,Space Technologies Research Institute,Government,Earth Observation,LEO,17-08-11,Dombarovsky Air Base,51.093889;59.842222,Dnepr
"ABS-7 (Koreasat 3, Mugungwha 3)",Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,04-09-99,Guiana Space Center,5.2079;-52.7724,Dnepr
"ABS-2 (Koreasat-8, ST-3)",Bermuda,Asia Broadcast Satellite Ltd.,Commercial,Communications,GEO,06-02-14,Guiana Space Center,5.2079;-52.7724,Dnepr
Eurasiasat 1 (Turksat 2A),Turkey/France,Eurasiasat SAM/Alcatel Space,Commercial,Communications,GEO,10-01-01,Guiana Space Center,5.2079;-52.7724,Dnepr
Eutelsat 8 West A (Atlantic Bird 2) ,France,Eutelsat S.A.,Commercial,Communications,GEO,25-09-01,Guiana Space Center,5.2079;-52.7724,Dnepr
Galaxy-11,USA,"PanAmSat (Intelsat, Ltd.)",Commercial,Communications,GEO,21-01-99,Guiana Space Center,5.2079;-52.7724,Dnepr
NSS-6 ,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,17-12-02,Guiana Space Center,5.2079;-52.7724,Dnepr
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,GEO,02-12-97,Guiana Space Center,5.2079;-52.7724,Dnepr
INSAT 3C (Indian National Satellite),India,Indian Space Research Organization (ISRO),Government,Communications,GEO,23-01-02,Guiana Space Center,5.2079;-52.7724,Dnepr
Intelsat 805 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,18-06-98,Guiana Space Center,5.2079;-52.7724,Dnepr
NSS-7 ,Netherlands,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,16-04-02,Guiana Space Center,5.2079;-52.7724,Dnepr
NSS-5 (Intelsat 803),Netherlands,SES World Skies/Intelsat [SES] (shared capacity),Commercial,Communications,GEO,23-09-97,Guiana Space Center,5.2079;-52.7724,Dnepr
MSAT 1 ,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,GEO,20-04-96,Guiana Space Center,5.2079;-52.7724,Dnepr 
Astra 1D ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,01-11-94,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Afristar ,USA,1Worldspace,Commercial,Communications,GEO,28-10-98,Guiana Space Center,5.2079;-52.7724,Dnepr 1
INMARSAT 3 F4 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,03-06-97,Guiana Space Center,5.2079;-52.7724,Dnepr 1
INMARSAT 3 F5 ,United Kingdom,"INMARSAT, Ltd.",Commercial,Communications,GEO,04-02-98,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 701 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,22-10-93,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 902 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,30-08-01,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 903 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,30-03-02,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 905 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,05-06-02,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 906 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,06-09-02,Guiana Space Center,5.2079;-52.7724,Dnepr 1
Intelsat 907 ,USA,"Intelsat, S.A.",Commercial,Communications,GEO,15-02-03,Guiana Space Center,5.2079;-52.7724,Dnepr 1 
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,GEO,14-11-96,Guiana Space Center,5.2079;-52.7724,Dnepr LV
Palapa C2 ,Indonesia,PT Indosat,Commercial,Communications,GEO,15-05-96,Guiana Space Center,5.2079;-52.7724,Dnepr LV
Astra 3A ,Luxembourg,SES (Société Européenne des Satellites (SES)),Commercial,Communications,GEO,29-03-02,Guiana Space Center,5.2079;-52.7724,Epsilon
